,Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
256,1974.0,26 Jun 1974,263.0,Group B,2066.0,Yugoslavia,D�Sseldorf ,Rheinstadion,Yugoslavia,YUG,0.0,0.0,Germany FR,FRG,1.0,2.0,1.0,2.0,Away_Team_Win, ,67385.0,MARQUES Armando (BRA),ANGONESE Aurelio (ITA),PEREZ NUNEZ Edison A. (PER)
257,1974.0,26 Jun 1974,263.0,Group A,1982.0,Brazil,Hanover ,Niedersachsenstadion,Brazil,BRA,0.0,1.0,German DR,GDR,0.0,0.0,0.0,1.0,Home_Team_Win, ,59863.0,THOMAS Clive (WAL),BABACAN Dogan (TUR),BOSKOVIC Tony (AUS)
258,1974.0,26 Jun 1974,263.0,Group A,1948.0,Netherlands,Gelsenkirchen ,Parkstadion,Netherlands,NED,2.0,4.0,Argentina,ARG,0.0,0.0,2.0,4.0,Home_Team_Win, ,56548.0,DAVIDSON Bob (SCO),TSCHENSCHER Kurt (GER),KAZAKOV Pavel (URS)
259,1974.0,26 Jun 1974,263.0,Group B,2167.0,Sweden,Stuttgart ,Neckarstadion,Sweden,SWE,0.0,0.0,Poland,POL,1.0,1.0,1.0,1.0,Away_Team_Win, ,44955.0,BARRETO RUIZ Ramon (URU),GONZALEZ ARCHUNDIA Alfonso (MEX),PESTARINO Luis (ARG)
260,1974.0,30 Jun 1974,263.0,Group A,1945.0,Argentina,Hanover ,Niedersachsenstadion,Argentina,ARG,1.0,1.0,Brazil,BRA,1.0,2.0,2.0,3.0,Away_Team_Win, ,39400.0,LORAUX Vital (BEL),NDIAYE Birame (SEN),TAYLOR John (ENG)
261,1974.0,30 Jun 1974,263.0,Group B,2170.0,Poland,Frankfurt/Main ,Waldstadion,Poland,POL,1.0,2.0,Yugoslavia,YUG,1.0,1.0,2.0,3.0,Home_Team_Win, ,58000.0,GLOECKNER Rudolf (GDR),MARQUES Armando (BRA),WINSEMANN Werner (CAN)
262,1974.0,30 Jun 1974,263.0,Group A,2067.0,German DR,Gelsenkirchen ,Parkstadion,German DR,GDR,0.0,0.0,Netherlands,NED,1.0,2.0,1.0,2.0,Away_Team_Win, ,68348.0,SCHEURER Ruedi (SUI),LINEMAYR Erich (AUT),DELGADO Omar (COL)
263,1974.0,30 Jun 1974,263.0,Group B,2065.0,Germany FR,D�Sseldorf ,Rheinstadion,Germany FR,FRG,0.0,4.0,Sweden,SWE,1.0,2.0,1.0,6.0,Home_Team_Win, ,67800.0,KAZAKOV Pavel (URS),RAINEA Nicolae (ROU),SANCHEZ IBANEZ Pablo (ESP)
264,1974.0,03 Jul 1974,263.0,Group B,2064.0,Poland,Frankfurt/Main ,Waldstadion,Poland,POL,0.0,0.0,Germany FR,FRG,0.0,1.0,0.0,1.0,Away_Team_Win, ,62000.0,LINEMAYR Erich (AUT),PALOTAI Karoly (HUN),SCHEURER Ruedi (SUI)
265,1974.0,03 Jul 1974,263.0,Group A,1983.0,Netherlands,Dortmund ,Westfalenstadion,Netherlands,NED,0.0,2.0,Brazil,BRA,0.0,0.0,0.0,2.0,Home_Team_Win, ,53700.0,TSCHENSCHER Kurt (GER),DAVIDSON Bob (SCO),SUPPIAH George (SIN)
